matiere,intitule,reponse
Chiffres Romains,Que représente le chiffre "I" en chiffres romains ?,1
Chiffres Romains,Comment s'écrit le chiffre "4" en chiffres romains ?,IV
Chiffres Romains,Quelle lettre représente le chiffre "5" en chiffres romains ?,V
Chiffres Romains,Quel chiffre est représenté par la lettre "X" en chiffres romains ?,10
Chiffres Romains,Comment s'écrit le chiffre "9" en chiffres romains ?,IX
Chiffres Romains,Quelle est la valeur de la lettre "L" en chiffres romains ?,50
Chiffres Romains,Que représente le chiffre "40" en chiffres romains ?,XL
Chiffres Romains,Comment s'écrit le chiffre "90" en chiffres romains ?,XC
Chiffres Romains,Quelle lettre représente le chiffre "100" en chiffres romains ?,C
Chiffres Romains,Quel chiffre est représenté par la lettre "D" en chiffres romains ?,500
Chiffres Romains,Comment s'écrit le chiffre "400" en chiffres romains ?,CD
Chiffres Romains,Quelle est la valeur de la lettre "M" en chiffres romains ?,1000
Chiffres Romains,Que représente le chiffre "900" en chiffres romains ?,CM
Chiffres Romains,Comment s'écrit le chiffre "1000" en chiffres romains ?,M
Chiffres Romains,Quelle lettre représente le chiffre "50" en chiffres romains ?,L
Chiffres Romains,Quel chiffre est représenté par la lettre "10" en chiffres romains ?,X
Chiffres Romains,Comment s'écrit le chiffre "6" en chiffres romains ?,VI
Chiffres Romains,Quelle est la valeur de la lettre "V" en chiffres romains ?,5
Chiffres Romains,Que représente le chiffre "3" en chiffres romains ?,III
Chiffres Romains,Comment s'écrit le chiffre "8" en chiffres romains ?,VIII
Chiffres Romains,Quelle lettre représente le chiffre "4000" en chiffres romains ?,MMMM
Chiffres Romains,Quel chiffre est représenté par la lettre "20" en chiffres romains ?,XX
Chiffres Romains,Comment s'écrit le chiffre "7" en chiffres romains ?,VII
Chiffres Romains,Quelle est la valeur de la lettre "9000" en chiffres romains ?,MMMMMMMMM
Chiffres Romains,Que représente le chiffre "60" en chiffres romains ?,LX
Chiffres Romains,Comment s'écrit le chiffre "30" en chiffres romains ?,XXX
Chiffres Romains,Quelle lettre représente le chiffre "70" en chiffres romains ?,LXX
Chiffres Romains,Quel chiffre est représenté par la lettre "80" en chiffres romains ?,LXXX
Chiffres Romains,Comment s'écrit le chiffre "99" en chiffres romains ?,XCIX
Chiffres Romains,Quelle est la valeur de la lettre "150" en chiffres romains ?,CL
Chiffres Romains,Que représente le chiffre "89" en chiffres romains ?,LXXXIX
Chiffres Romains,Comment s'écrit le chiffre "120" en chiffres romains ?,CXX
Chiffres Romains,Quelle lettre représente le chiffre "49" en chiffres romains ?,XLIX
Chiffres Romains,Quel chiffre est représenté par la lettre "250" en chiffres romains ?,CCL
Chiffres Romains,Comment s'écrit le chiffre "575" en chiffres romains ?,DLXXV
Chiffres Romains,Quelle est la valeur de la lettre "990" en chiffres romains ?,CMXC
Chiffres Romains,Que représente le chiffre "666" en chiffres romains ?,DCLXVI
Chiffres Romains,Comment s'écrit le chiffre "333" en chiffres romains ?,CCCXXXIII
Chiffres Romains,Quelle lettre représente le chiffre "444" en chiffres romains ?,CDXLIV
Chiffres Romains,Quel chiffre est représenté par la lettre "888" en chiffres romains ?,DCCCLXXXVIII
Chiffres Romains,Comment s'écrit le chiffre "2222" en chiffres romains ?,MMCCXXII
Chiffres Romains,Quelle est la valeur de la lettre "3333" en chiffres romains ?,MMMCCCXXXIII
Chiffres Romains,Que représente le chiffre "7777" en chiffres romains ?,MMMMMMMDCCLXXVII
Chiffres Romains,Comment s'écrit le chiffre "8888" en chiffres romains ?,MMMMMMMMDCCCLXXXVIII
Chiffres Romains,Quelle lettre représente le chiffre "9999" en chiffres romains ?,MMMMMMMMCMXCIX
Chiffres Romains,Quel chiffre est représenté par la lettre "1234" en chiffres romains ?,MCCXXXIV
Chiffres Romains,Comment s'écrit le chiffre "4567" en chiffres romains ?,CDLXVII
Chiffres Romains,Quelle est la valeur de la lettre "6789" en chiffres romains ?,DCLXXXIX
Chiffres Romains,Que représente le chiffre "9876" en chiffres romains ?,CMLXXVIII
