matiere,intitule,reponse
Géographie,Quelle est la capitale de la France ?,Paris
Géographie,Quel est le plus grand océan du monde ?,L'océan Pacifique
Géographie,Quel continent est souvent appelé "le berceau de l'humanité" en raison de ses découvertes archéologiques importantes ?,L'Afrique
Géographie,Quelle est la plus grande chaîne de montagnes d'Amérique du Nord ?,Les montagnes Rocheuses
Géographie,Quel est le fleuve le plus long d'Asie ?,Le Yangtsé
Géographie,Quelle est la capitale du Japon ?,Tokyo
Géographie,Quel pays est situé à la pointe sud du continent africain ?,L'Afrique du Sud
Géographie,Quelle est la plus grande île du monde ?,Groenland
Géographie,Quel est le désert le plus sec du monde situé en Amérique du Sud ?,Le désert d'Atacama
Géographie,Quel est le plus grand lac d'Afrique ?,Le lac Victoria
Géographie,Quel est le pays le plus peuplé du monde ?,La Chine
Géographie,Quelle est la capitale de l'Inde ?,New Delhi
Géographie,Quel est le plus grand lac d'Amérique du Nord ?,Le lac Supérieur
Géographie,Quel océan est à l'est des États-Unis ?,L'océan Atlantique
Géographie,Quel est le plus grand pays d'Amérique du Sud ?,Le Brésil
Géographie,Quelle est la capitale de l'Espagne ?,Madrid
Géographie,Quel est le point le plus élevé d'Amérique du Sud ?,L'Aconcagua
Géographie,Quel est le plus grand fleuve d'Amérique du Sud ?,L'Amazone
Géographie,Quel est le plus haut sommet d'Afrique ?,Le mont Kilimandjaro
Géographie,Quel est le plus grand océan du monde en superficie ?,L'océan Pacifique
Géographie,Quel est le pays le plus grand d'Europe ?,La Russie
Géographie,Quel est le désert le plus grand d'Asie situé dans le nord de la Chine et de la Mongolie ?,Le désert de Gobi
Géographie,Quel est le plus grand archipel du monde situé en Asie du Sud-Est ?,L'archipel indonésien
Géographie,Quelle est la capitale de l'Italie ?,Rome
Géographie,Quel est le plus grand désert du monde situé en Antarctique ?,Le désert de l'Antarctique
Géographie,Quel est le fleuve le plus long d'Europe ?,La Volga
Géographie,Quel océan est à l'ouest de l'Afrique ?,L'océan Atlantique
Géographie,Quel est le plus grand lac du monde en superficie ?,La mer Caspienne
Géographie,Quel est le point le plus bas d'Amérique du Sud situé en Argentine ?,La Laguna del Carbón
Géographie,Quelle est la capitale du Canada ?,Ottawa
Géographie,Quel est le plus grand pays d'Amérique du Nord ?,Le Canada
Géographie,Quel est le désert le plus grand d'Afrique situé dans le nord du continent ?,Le désert du Sahara
Géographie,Quel est le plus grand archipel du monde situé dans l'océan Pacifique ?,L'archipel indonésien
Géographie,Quel est le plus grand fleuve d'Europe ?,Le Danube
Géographie,Quel océan est à l'ouest de l'Australie ?,L'océan Indien
Géographie,Quelle est la capitale de la Chine ?,Pékin
Géographie,Quel est le désert le plus grand d'Amérique du Nord ?,Le désert du Mojave
Géographie,Quelle est la plus grande île de Méditerranée ?,La Sicile
Géographie,Quel est le plus grand lac d'Asie situé en Sibérie ?,Le lac Baïkal
Géographie,Quel pays est situé à la pointe sud de l'Amérique du Sud ?,L'Argentine
Géographie,Quelle est la capitale de l'Allemagne ?,Berlin
Géographie,Quel est le plus grand désert de sable du monde ?,Le Sahara
Géographie,Quel est le plus grand archipel du monde situé en Asie du Sud-Est ?,L'archipel indonésien
Géographie,Quel est le plus grand lac du Canada ?,Le lac Supérieur
Géographie,Quelle est la capitale du Royaume-Uni ?,Londres
Géographie,Quel est le fleuve qui traverse l'Amazonie en Amérique du Sud ?,L'Amazone
Géographie,Quel pays est situé à la pointe sud de l'Afrique ?,L'Afrique du Sud
