matiere,intitule,reponse
Anglais,Comment dit-on "bonjour" en anglais ?,Hello
Anglais,Quel est le mot anglais pour "maison" ?,House
Anglais,Comment dit-on "chat" en anglais ?,Cat
Anglais,Quelle est la couleur "bleu" en anglais ?,Blue
Anglais,Comment s'appelle le chiffre "5" en anglais ?,Five
Anglais,Quel est le mot anglais pour "école" ?,School
Anglais,Comment dit-on "merci" en anglais ?,Thank you
Anglais,Quel est le mot anglais pour "livre" ?,Book
Anglais,Comment s'appelle le jour "lundi" en anglais ?,Monday
Anglais,Quelle est la couleur "vert" en anglais ?,Green
Anglais,Comment dit-on "fleur" en anglais ?,Flower
Anglais,Quel est le mot anglais pour "ami" ?,Friend
Anglais,Comment s'appelle le mois "juillet" en anglais ?,July
Anglais,Quelle est la couleur "rouge" en anglais ?,Red
Anglais,Comment dit-on "pomme" en anglais ?,Apple
Anglais,Quel est le mot anglais pour "grand" ?,Big
Anglais,Comment s'appelle le chiffre "10" en anglais ?,Ten
Anglais,Quelle est la couleur "jaune" en anglais ?,Yellow
Anglais,Comment dit-on "chien" en anglais ?,Dog
Anglais,Quel est le mot anglais pour "heureux" ?,Happy
Anglais,Comment s'appelle le mois "février" en anglais ?,February
Anglais,Quelle est la couleur "rose" en anglais ?,Pink
Anglais,Comment dit-on "manger" en anglais ?,Eat
Anglais,Quel est le mot anglais pour "petit" ?,Small
Anglais,Comment s'appelle le jour "dimanche" en anglais ?,Sunday
Anglais,Quelle est la couleur "orange" en anglais ?,Orange
Anglais,Comment dit-on "pluie" en anglais ?,Rain
Anglais,Quel est le mot anglais pour "frère" ?,Brother
Anglais,Comment s'appelle le chiffre "15" en anglais ?,Fifteen
Anglais,Quelle est la couleur "marron" en anglais ?,Brown
Anglais,Comment dit-on "dormir" en anglais ?,Sleep
Anglais,Quel est le mot anglais pour "soeur" ?,Sister
Anglais,Comment s'appelle le mois "octobre" en anglais ?,October
Anglais,Quelle est la couleur "violet" en anglais ?,Purple
Anglais,Comment dit-on "étoile" en anglais ?,Star
Anglais,Quel est le mot anglais pour "jouer" ?,Play
Anglais,Comment s'appelle le jour "mercredi" en anglais ?,Wednesday
Anglais,Quelle est la couleur "gris" en anglais ?,Gray
Anglais,Comment dit-on "avion" en anglais ?,Plane
Anglais,Quel est le mot anglais pour "maman" ?,Mom
Anglais,Comment s'appelle le chiffre "20" en anglais ?,Twenty
Anglais,Quelle est la couleur "blanc" en anglais ?,White
Anglais,Comment dit-on "soleil" en anglais ?,Sun
Anglais,Quel est le mot anglais pour "papa" ?,Dad
Anglais,Comment s'appelle le mois "mai" en anglais ?,May
Anglais,Quelle est la couleur "noir" en anglais ?,Black
Anglais,Comment dit-on "écouter" en anglais ?,Listen
Anglais,Quel est le mot anglais pour "maître" ?,Teacher
Anglais,Comment s'appelle le jour "jeudi" en anglais ?,Thursday
